address,nbr_tx_in,nbr_tx_out,Tot_in,Tot_out,mean_in,mean_out,sdev_in,sdev_out,gini_in,gini_out,avg_time_btw_tx,lifetime,ponzi
0x7d3ae940eb73dc9131758ad2e326c7d863b0916a,18,7,1.38E+20,1.10E+17,7.67E+18,1.57E+16,8.09E+18,6.02E+15,0.502415459,0.14025974,105636.96,2640924,1
0x1213c29b5e1a6f33e0d044f850a57b665e3cde21,11,21,5.23E+20,1.34E+20,4.75E+19,6.38E+18,4.79E+19,1.14E+19,0.507561272,0.714410449,49245.53125,1575857,1
0x55d035ba1f4ae932cf98125b93d830d9858cd39f,6,6,1.50E+16,2.70E+19,2.50E+15,4.50E+18,9.57E+14,4.19E+18,0.211111111,0.499950619,53402.58333,640831,1
0x428da5ff72d8be0efaa85336b6c6a9fc9e0f73fe,866,57,8.92E+20,3.07E+21,1.03E+18,5.39E+19,5.85E+17,3.91E+19,0.047000696,0.400728593,72313.54388,66745401,1
0xba69e7c96e9541863f009e713caf26d4ad2241a0,4,46,3.13E+19,1.62E+19,7.83E+18,3.52E+17,3.75E+18,2.74E+17,0.207548675,0.386140918,105249.22,5262461,1
0x5c3578f62ccd0b126214daa589ca11c7dc681acf,60,8,1.38E+20,1.10E+19,2.30E+18,1.38E+18,3.52E+18,2.10E+18,0.58978186,0.690766748,19295.33824,1312083,1
0xd2dc2625079d2eb5d31a03ce2372304a23fb7b42,1,2,1.00E+17,6.00E+20,1.00E+17,3.00E+20,0,1.00E+20,0,0.166666667,3170533,9511599,1
0xe19e5f100d6a31169b5dca265c9285059c41d4f6,1,5,2.00E+17,3.40E+19,2.00E+17,6.80E+18,0,1.34E+19,0,0.793647059,138901.1667,833407,1
0xa9fa83d31ff1cfd14b7f9d17f02e48dcfd9cb0cb,8,499,1.88E+19,4.49E+21,2.35E+18,9.00E+18,2.24E+18,4.68E+18,0.488031915,0.263354565,596.9329389,302645,1
0x723dff0e27cc38b80556f5e05dfdbdcb721654d7,27,3,4.20E+17,7.00E+18,1.56E+16,2.33E+18,6.85E+15,1.25E+18,0.206349206,0.285714286,1461622.5,43848675,1
0x6492904953ed9015d6b37f8063b65c8de105d837,32,236,7.77E+19,4.09E+19,2.43E+18,1.73E+17,2.96E+18,2.33E+17,0.551132597,0.526389959,77663.0597,20813700,1
0xba6284ca128d72b25f1353fadd06aa145d9095af,542,23,1.15E+21,3.04E+17,2.12E+18,1.32E+16,1.05E+19,5.00E+15,0.952377252,0.16819222,107583.0248,60784409,1
0x7894ccf2997c8c89a80b86faa012d09d53ed48b9,4,3,3.60E+19,1.39E+17,9.00E+18,4.63E+16,0,5.57E+16,0,0.581323349,4353272.286,30472906,1
0xe82719202e5965cf5d9b6673b7503a3b92de20be,26,17,4.06E+19,9.75E+16,1.56E+18,5.74E+15,1.90E+18,5.66E+15,0.476767562,0.485671192,94472.27907,4062308,1
0xa259e6bcade86c770cb5214c789ee107662831a6,3,17,1.33E+19,8.41E+19,4.43E+18,4.94E+18,1.02E+18,3.40E+18,0.114997869,0.355712306,16009.65,320193,1
0xc357a046c5c13bb4e6d918a208b8b4a0ab2f2efd,2,1,4.00E+16,1.90E+16,2.00E+16,1.90E+16,1.00E+16,0,0.25,0,295,885,1
0xdcb13fa157eebf22ddc8c9aa1d6e394810de6fa3,29,6,1.23E+20,3.88E+17,4.23E+18,6.47E+16,4.42E+18,8.00E+16,0.51864591,0.605670103,13490.88571,472181,1
0x4865e85c72a27ca6c362da75ba6707c07464b953,11,8,7.68E+18,4.40E+19,6.98E+17,5.50E+18,9.50E+17,4.50E+18,0.667930115,0.409090909,2058789.842,39117007,1
0xf52ecc525d998eb880911a268b0fa4bc7d69a435,84,26,9.94E+19,6.64E+20,1.18E+18,2.55E+19,1.52E+18,2.69E+19,0.472318325,0.549829557,37337.58182,4107134,1
0xf767fca8e65d03fe16d4e38810f5e5376c3372a8,2,168,2.10E+16,5.30E+21,1.05E+16,3.16E+19,5.00E+14,5.83E+19,0.023809524,0.760233477,352749.6,59967432,1
0x787e3cef5edd94089ab3988775fcb24a1582b38f,4,30,7.60E+18,2.28E+19,1.90E+18,7.60E+17,1.83E+18,8.19E+17,0.473831468,0.502114949,19809.76471,673532,1
0xf70ce1be9685b0cfb531bc712d3faace858b5bfb,179,3,1.42E+21,1.99E+18,7.91E+18,6.64E+17,1.50E+19,2.06E+17,0.707658254,0.159049054,444569.4011,80911631,1
0x4fb663c1616bfe80b5b6d5a214efa81d5a121801,3,2,1.32E+18,2.00E+18,4.40E+17,1.00E+18,4.19E+16,0,0.044897905,0,4873455.2,24367276,1
0xd12d8f8dfa54f1578b2177f99b2e282367b66b13,3,4,2.60E+17,5.26E+18,8.67E+16,1.32E+18,5.79E+16,7.70E+17,0.358974359,0.30513308,521444.5714,3650112,1
0x1afd952269873fe009c7bdff5f07fd91605a7227,16,23,4.56E+19,1.51E+20,2.85E+18,6.56E+18,2.43E+18,4.64E+18,0.416371308,0.368148117,35061,1367379,1
0x0f26c26318872e8fa85dee5d30cba45ed53b3d3e,1,10,1.00E+17,1.91E+19,1.00E+17,1.91E+18,0,1.34E+18,0,0.295178197,293793.7273,3231731,1
0x41f2d5040726c5328f8366f17041ec012ac8f338,1,161,2.00E+18,4.83E+21,2.00E+18,3.00E+19,0,6.90E+19,0,0.781496464,171860.7469,27841441,1
0x43e49c79172a1be3ebb4240da727c0da0fa5d233,2,22,6.00E+15,1.07E+19,3.00E+15,4.86E+17,2.00E+15,2.06E+18,0.333333333,0.927985735,23014.375,552345,1
0x2a53f42ad8bba138c21b50a4e5711f18381a61e9,5,1,4.10E+17,1.96E+16,8.20E+16,1.96E+16,4.45E+16,0,0.282926829,0,442256.6667,2653540,1
0xe7f06e64e0d04c6cfedf7e9079d56d0fb7200a2e,45,24,8.24E+20,1.83E+19,1.83E+19,7.63E+17,1.82E+19,2.34E+18,0.547088759,0.858803439,976777.4493,67397644,1
